es_date,raw_date,btc_volume,btc_price,RSI_6,RSI_9,RSI_15,K_9,D_9
2010-07-24T00:00:00Z,20100724,10400.0,0.053,,,,,
2011-03-01T00:00:00Z,20110301,79956.0,0.93,,,,,
2011-06-04T00:00:00Z,20110604,0.001,17.83,,,,,
2011-08-08T00:00:00Z,20110808,10770.51520822,8.89,,,,,
2012-06-22T00:00:00Z,20120622,0.031337000000000004,6.49,,,,,
2012-07-15T00:00:00Z,20120715,1.0930110000000002,8.09,,,,,
2012-10-23T00:00:00Z,20121023,0.039051999999999996,11.65,46.96005550986268,,,,
2013-01-25T00:00:00Z,20130125,0.001,17.17,46.960042974088495,,,,
2013-02-01T00:00:00Z,20130201,14.35569964,20.03,46.96645169134804,,,,
2013-02-03T00:00:00Z,20130203,7.76e-06,20.12,46.95964236743313,46.960554922606235,,,
2013-04-09T00:00:00Z,20130409,69471.08220199999,178.5,71.20396691158214,63.592378011526485,,,
2013-04-10T00:00:00Z,20130410,0.0022,115.0,45.98223315655734,47.00896030620715,,,
2013-04-11T00:00:00Z,20130411,2.9610000000000006e-05,92.45,45.982232545930664,47.00895987534746,,33.33333439568903,33.33532884352707
2013-04-20T00:00:00Z,20130420,1e-06,114.29,45.98223253627155,47.00895986895794,,1.0623556979301914e-06,22.222223281083263
2013-05-22T00:00:00Z,20130522,0.015,118.7,45.982239674810074,47.00896411698429,,7.207243419094041e-06,11.111114221762719
2013-06-24T00:00:00Z,20130624,1.4999999999999999e-05,97.25,45.982232389661434,47.008959881409396,48.32272162301869,7.203476863882184e-06,5.157691997341122e-06
2013-06-29T00:00:00Z,20130629,0.002,89.83,45.98223375007179,47.0089605929348,48.32272197752599,8.162628948781967e-06,7.524449747625047e-06
2013-06-30T00:00:00Z,20130630,1e-08,85.61,45.98223234993037,47.00895987746972,48.32272161967067,9.658695083558335e-07,5.443991777378978e-06
2013-07-05T00:00:00Z,20130705,0.001,66.0,45.98223333681763,47.00896033112982,48.322721824686205,1.438963237308644e-06,3.522487235187797e-06
2013-07-25T00:00:00Z,20130725,0.001,89.19,45.98223333681763,47.00896033112982,48.32272182468621,2.2222019612788064,0.7407347887038545
2013-07-27T00:00:00Z,20130727,0.0025,88.35,45.982235468515306,47.008961192383765,48.32272217771391,7.777738998303498,3.3333141328485176
2013-08-18T00:00:00Z,20130818,2e-08,98.0,45.98223183935998,47.008959759842234,48.32272158823395,7.777760740729382,5.925900566770566
2013-08-19T00:00:00Z,20130819,1e-08,101.1,45.98223183934255,47.00895975983579,48.32272158823143,5.555559259261727,7.037019666098207
2013-09-10T00:00:00Z,20130910,0.00041500000000000006,121.73,45.98223285843996,47.00896009909774,48.32272170835959,5.533244355125568,6.288854785038897
2013-10-12T00:00:00Z,20131012,6.999999999999999e-08,126.81999999999998,45.98223181759139,47.00895976056312,48.32272158802319,5.534022136088544,5.540941916825285
2013-10-16T00:00:00Z,20131016,5e-08,138.7,45.982231817531186,47.00895976054477,48.32272158801698,5.534555471555219,5.533940654256448
2013-10-19T00:00:00Z,20131019,2e-08,157.33,45.982231817422814,47.0089597605138,48.32272158800699,0.0014666725333553011,3.6900147600590447
